split,seed,observation_id,molecule_group_id,scaffold_group_id,structure_solvent_group_id,partition
1,42,256,MOL_001228,SCF_000377,SSG_001262,train
1,42,257,MOL_001228,SCF_000377,SSG_001262,train
1,42,258,MOL_001230,SCF_000420,SSG_001265,train
1,42,259,MOL_001238,SCF_000123,SSG_001272,train
1,42,260,MOL_000895,SCF_000420,SSG_000918,train
1,42,261,MOL_000895,SCF_000420,SSG_000918,train
1,42,275,MOL_000904,SCF_000701,SSG_000927,train
1,42,276,MOL_003678,SCF_000607,SSG_003833,train
1,42,277,MOL_003678,SCF_000607,SSG_003832,train
1,42,278,MOL_003732,SCF_000606,SSG_003897,train
1,42,279,MOL_003732,SCF_000606,SSG_003897,train
1,42,280,MOL_003732,SCF_000606,SSG_003897,train
1,42,281,MOL_003732,SCF_000606,SSG_003897,train
1,42,282,MOL_003732,SCF_000606,SSG_003898,train
1,42,283,MOL_002587,SCF_000606,SSG_002673,train
1,42,284,MOL_003311,SCF_000371,SSG_003428,train
1,42,285,MOL_000893,SCF_000420,SSG_000917,train
1,42,286,MOL_000894,SCF_000420,SSG_000916,train
1,42,287,MOL_000894,SCF_000420,SSG_000916,train
1,42,295,MOL_000960,SCF_000639,SSG_000984,train
1,42,296,MOL_000962,SCF_000634,SSG_000986,train
1,42,297,MOL_000486,SCF_000047,SSG_000491,train
1,42,298,MOL_000738,SCF_000606,SSG_000760,train
1,42,299,MOL_000738,SCF_000606,SSG_000760,train
1,42,300,MOL_000738,SCF_000606,SSG_000760,train
1,42,301,MOL_001352,SCF_000606,SSG_001386,train
1,42,302,MOL_001352,SCF_000606,SSG_001386,train
1,42,303,MOL_001352,SCF_000606,SSG_001386,train
1,42,304,MOL_001352,SCF_000606,SSG_001386,train
1,42,305,MOL_001352,SCF_000606,SSG_001386,train
1,42,306,MOL_000465,SCF_000606,SSG_000470,train
1,42,307,MOL_000465,SCF_000606,SSG_000470,train
1,42,329,MOL_003331,SCF_000607,SSG_003451,train
1,42,330,MOL_001102,SCF_000022,SSG_001131,train
1,42,331,MOL_002208,SCF_000138,SSG_002273,train
1,42,337,MOL_001850,SCF_000387,SSG_001894,train
1,42,338,MOL_001850,SCF_000387,SSG_001894,train
1,42,339,MOL_001850,SCF_000387,SSG_001894,train
1,42,340,MOL_001850,SCF_000387,SSG_001894,train
1,42,344,MOL_001233,SCF_000420,SSG_001266,train
1,42,345,MOL_001233,SCF_000420,SSG_001266,train
1,42,346,MOL_001233,SCF_000420,SSG_001266,train
1,42,347,MOL_001231,SCF_000420,SSG_001264,train
1,42,348,MOL_001231,SCF_000420,SSG_001264,train
1,42,349,MOL_000690,SCF_000700,SSG_000711,train
1,42,350,MOL_001497,SCF_000607,SSG_001531,train
1,42,361,MOL_002998,SCF_000022,SSG_003107,train
1,42,362,MOL_001842,SCF_000606,SSG_001886,train
1,42,363,MOL_001842,SCF_000606,SSG_001886,train
1,42,364,MOL_001844,SCF_000606,SSG_001888,train
1,42,365,MOL_001844,SCF_000606,SSG_001888,train
1,42,366,MOL_000823,SCF_000607,SSG_000846,train
1,42,368,MOL_001871,SCF_000094,SSG_001915,train
1,42,382,MOL_000435,SCF_000138,SSG_000440,train
1,42,383,MOL_001853,SCF_000602,SSG_001897,train
1,42,384,MOL_001853,SCF_000602,SSG_001897,train
1,42,385,MOL_001853,SCF_000602,SSG_001897,train
1,42,386,MOL_000680,SCF_000606,SSG_000700,train
1,42,387,MOL_000680,SCF_000606,SSG_000700,train
1,42,388,MOL_000680,SCF_000606,SSG_000700,train
1,42,389,MOL_001849,SCF_000387,SSG_001893,train
1,42,390,MOL_001849,SCF_000387,SSG_001893,train
1,42,391,MOL_001849,SCF_000387,SSG_001893,train
1,42,392,MOL_001354,SCF_000606,SSG_001388,train
1,42,393,MOL_001354,SCF_000606,SSG_001388,train
1,42,394,MOL_001354,SCF_000606,SSG_001388,train
1,42,395,MOL_001353,SCF_000606,SSG_001387,train
1,42,396,MOL_001353,SCF_000606,SSG_001387,train
1,42,397,MOL_001353,SCF_000606,SSG_001387,train
1,42,398,MOL_001841,SCF_000606,SSG_001885,train
1,42,399,MOL_001841,SCF_000606,SSG_001885,train
1,42,400,MOL_001841,SCF_000606,SSG_001885,train
1,42,401,MOL_000739,SCF_000606,SSG_000761,train
1,42,402,MOL_000739,SCF_000606,SSG_000761,train
1,42,403,MOL_000739,SCF_000606,SSG_000761,train
1,42,404,MOL_000741,SCF_000606,SSG_000763,train
1,42,405,MOL_000741,SCF_000606,SSG_000763,train
1,42,406,MOL_000741,SCF_000606,SSG_000763,train
1,42,407,MOL_000460,SCF_000606,SSG_000465,train
1,42,408,MOL_000460,SCF_000606,SSG_000465,train
1,42,409,MOL_003300,SCF_000699,SSG_003416,train
1,42,410,MOL_002543,SCF_000138,SSG_002625,train
1,42,411,MOL_001221,SCF_000420,SSG_001256,train
1,42,412,MOL_001220,SCF_000420,SSG_001254,train
1,42,413,MOL_000851,SCF_000420,SSG_000874,train
1,42,415,MOL_000135,SCF_000138,SSG_000136,train
1,42,423,MOL_003626,SCF_000607,SSG_003776,train
1,42,424,MOL_003626,SCF_000607,SSG_003776,train
1,42,425,MOL_003626,SCF_000607,SSG_003776,train
1,42,426,MOL_003627,SCF_000607,SSG_003777,train
1,42,427,MOL_003627,SCF_000607,SSG_003777,train
1,42,428,MOL_003627,SCF_000607,SSG_003777,train
1,42,430,MOL_000991,SCF_000438,SSG_001015,train
1,42,431,MOL_000992,SCF_000440,SSG_001016,train
1,42,434,MOL_002450,SCF_000460,SSG_002532,train
1,42,435,MOL_002450,SCF_000460,SSG_002532,train
1,42,438,MOL_000859,SCF_000420,SSG_000882,train
1,42,439,MOL_000859,SCF_000420,SSG_000882,train
1,42,440,MOL_000903,SCF_000420,SSG_000926,train
1,42,441,MOL_000903,SCF_000420,SSG_000926,train
1,42,447,MOL_000825,SCF_000607,SSG_000848,train
1,42,448,MOL_000824,SCF_000607,SSG_000847,train
1,42,449,MOL_001278,SCF_000607,SSG_001312,train
1,42,450,MOL_000821,SCF_000607,SSG_000844,train
1,42,451,MOL_000820,SCF_000607,SSG_000843,train
1,42,452,MOL_000826,SCF_000607,SSG_000849,train
1,42,453,MOL_000841,SCF_000607,SSG_000864,train
1,42,455,MOL_000891,SCF_000420,SSG_000914,train
1,42,457,MOL_001214,SCF_000490,SSG_001248,train
1,42,459,MOL_003816,SCF_000464,SSG_003989,train
1,42,460,MOL_000391,SCF_000607,SSG_000395,train
1,42,461,MOL_000391,SCF_000607,SSG_000395,train
1,42,464,MOL_001843,SCF_000606,SSG_001887,train
1,42,465,MOL_001843,SCF_000606,SSG_001887,train
1,42,466,MOL_001843,SCF_000606,SSG_001887,train
1,42,468,MOL_000685,SCF_000138,SSG_000705,train
1,42,469,MOL_002249,SCF_000497,SSG_002319,train
1,42,470,MOL_002261,SCF_000504,SSG_002331,train
1,42,471,MOL_002261,SCF_000504,SSG_002331,train
1,42,472,MOL_003753,SCF_000497,SSG_003922,train
1,42,473,MOL_003826,SCF_000495,SSG_003999,train
1,42,474,MOL_002612,SCF_000138,SSG_002702,train
1,42,476,MOL_000156,SCF_000388,SSG_000157,train
1,42,477,MOL_000157,SCF_000470,SSG_000158,train
1,42,478,MOL_000154,SCF_000388,SSG_000155,train
1,42,479,MOL_000153,SCF_000510,SSG_000154,train
1,42,480,MOL_000312,SCF_000388,SSG_000316,train
1,42,481,MOL_002251,SCF_000497,SSG_002321,train
1,42,482,MOL_002661,SCF_000138,SSG_002755,train
1,42,484,MOL_001888,SCF_000497,SSG_001932,train
1,42,485,MOL_001888,SCF_000497,SSG_001932,train
1,42,486,MOL_001222,SCF_000420,SSG_001255,train
1,42,487,MOL_003798,SCF_000607,SSG_003969,train
1,42,488,MOL_001422,SCF_000607,SSG_001456,train
1,42,489,MOL_003645,SCF_000517,SSG_003797,train
1,42,490,MOL_002663,SCF_000517,SSG_002757,train
1,42,491,MOL_003244,SCF_000707,SSG_003357,train
1,42,492,MOL_002870,SCF_000517,SSG_002974,train
1,42,493,MOL_003644,SCF_000517,SSG_003796,train
1,42,494,MOL_003643,SCF_000517,SSG_003795,train
1,42,495,MOL_003642,SCF_000517,SSG_003794,train
1,42,497,MOL_000136,SCF_000138,SSG_000137,train
1,42,503,MOL_002641,SCF_000095,SSG_002734,train
1,42,506,MOL_001580,SCF_000084,SSG_001616,train
1,42,508,MOL_002667,SCF_000490,SSG_002761,train
1,42,517,MOL_001072,SCF_000095,SSG_001100,train
1,42,518,MOL_000413,SCF_000002,SSG_000417,train
1,42,520,MOL_002458,SCF_000607,SSG_002540,train
1,42,521,MOL_002458,SCF_000607,SSG_002540,train
1,42,524,MOL_002422,SCF_000460,SSG_002499,train
1,42,525,MOL_002422,SCF_000460,SSG_002499,train
1,42,526,MOL_002541,SCF_000139,SSG_002623,train
1,42,532,MOL_002441,SCF_000464,SSG_002522,train
1,42,533,MOL_002441,SCF_000464,SSG_002522,train
1,42,537,MOL_003337,SCF_000092,SSG_003458,train
1,42,538,MOL_003338,SCF_000093,SSG_003459,train
1,42,539,MOL_003338,SCF_000093,SSG_003460,train
1,42,555,MOL_000462,SCF_000491,SSG_000467,train
1,42,556,MOL_000466,SCF_000491,SSG_000471,train
1,42,560,MOL_000490,SCF_000491,SSG_000495,train
1,42,561,MOL_000489,SCF_000491,SSG_000494,train
1,42,563,MOL_000944,SCF_000131,SSG_000968,train
1,42,564,MOL_000939,SCF_000129,SSG_000963,train
1,42,566,MOL_000940,SCF_000129,SSG_000964,train
1,42,568,MOL_000938,SCF_000129,SSG_000962,train
1,42,570,MOL_000941,SCF_000129,SSG_000965,train
1,42,576,MOL_000843,SCF_000701,SSG_000866,train
1,42,577,MOL_000883,SCF_000701,SSG_000906,train
1,42,578,MOL_000844,SCF_000703,SSG_000867,train
1,42,579,MOL_000884,SCF_000703,SSG_000907,train
1,42,582,MOL_001277,SCF_000607,SSG_001311,train
1,42,583,MOL_000814,SCF_000607,SSG_000837,train
1,42,584,MOL_000833,SCF_000633,SSG_000856,train
1,42,585,MOL_000831,SCF_000633,SSG_000854,train
1,42,587,MOL_003839,SCF_000533,SSG_004015,train
1,42,588,MOL_002359,SCF_000420,SSG_002434,train
1,42,590,MOL_000488,SCF_000485,SSG_000493,train
1,42,591,MOL_000488,SCF_000485,SSG_000493,train
1,42,592,MOL_000961,SCF_000639,SSG_000985,train
1,42,593,MOL_000963,SCF_000634,SSG_000987,train
1,42,594,MOL_001223,SCF_000319,SSG_001257,train
1,42,595,MOL_001234,SCF_000319,SSG_001268,train
1,42,598,MOL_000746,SCF_000606,SSG_000768,train
1,42,599,MOL_000746,SCF_000606,SSG_000768,train
1,42,601,MOL_001654,SCF_000504,SSG_001694,train
1,42,602,MOL_000986,SCF_000626,SSG_001010,train
1,42,603,MOL_001348,SCF_000606,SSG_001382,train
1,42,604,MOL_001350,SCF_000606,SSG_001384,train
1,42,605,MOL_001350,SCF_000606,SSG_001384,train
1,42,606,MOL_000985,SCF_000612,SSG_001009,train
1,42,607,MOL_000969,SCF_000396,SSG_000993,train
1,42,608,MOL_000971,SCF_000622,SSG_000996,train
1,42,609,MOL_000970,SCF_000611,SSG_000994,train
1,42,610,MOL_000973,SCF_000622,SSG_000998,train
1,42,611,MOL_000968,SCF_000395,SSG_000992,train
1,42,613,MOL_002220,SCF_000315,SSG_002287,train
1,42,614,MOL_002220,SCF_000315,SSG_002287,train
1,42,618,MOL_003303,SCF_000072,SSG_003419,train
1,42,619,MOL_003303,SCF_000072,SSG_003419,train
1,42,620,MOL_002433,SCF_000607,SSG_002511,train
1,42,621,MOL_002433,SCF_000607,SSG_002511,train
1,42,624,MOL_001137,SCF_000408,SSG_001166,train
1,42,626,MOL_002699,SCF_000383,SSG_002794,train
1,42,627,MOL_000407,SCF_000606,SSG_000411,train
1,42,628,MOL_000407,SCF_000606,SSG_000411,train
1,42,629,MOL_002258,SCF_000607,SSG_002328,train
1,42,630,MOL_000487,SCF_000606,SSG_000492,train
1,42,631,MOL_000742,SCF_000606,SSG_000764,train
1,42,632,MOL_001038,SCF_000138,SSG_001065,train
1,42,633,MOL_000335,SCF_000606,SSG_000339,train
1,42,634,MOL_002211,SCF_000607,SSG_002278,train
1,42,635,MOL_003104,SCF_000606,SSG_003214,train
1,42,636,MOL_003105,SCF_000606,SSG_003215,train
1,42,638,MOL_001042,SCF_000138,SSG_001069,train
1,42,639,MOL_001355,SCF_000606,SSG_001389,train
1,42,640,MOL_000975,SCF_000624,SSG_000999,train
1,42,641,MOL_002262,SCF_000504,SSG_002332,train
1,42,642,MOL_001886,SCF_000497,SSG_001929,train
1,42,643,MOL_001886,SCF_000497,SSG_001929,train
1,42,644,MOL_001884,SCF_000497,SSG_001927,train
1,42,645,MOL_001884,SCF_000497,SSG_001927,train
1,42,646,MOL_001444,SCF_000497,SSG_001478,train
1,42,647,MOL_001445,SCF_000504,SSG_001479,train
1,42,648,MOL_002250,SCF_000497,SSG_002320,train
1,42,649,MOL_001894,SCF_000504,SSG_001937,train
1,42,650,MOL_001894,SCF_000504,SSG_001937,train
1,42,651,MOL_000158,SCF_000510,SSG_000159,train
1,42,652,MOL_002976,SCF_000388,SSG_003083,train
1,42,654,MOL_003809,SCF_000442,SSG_003980,train
1,42,655,MOL_000461,SCF_000491,SSG_000466,train
1,42,658,MOL_001897,SCF_000504,SSG_001941,train
1,42,659,MOL_001897,SCF_000504,SSG_001941,train
1,42,660,MOL_003140,SCF_000607,SSG_003251,train
1,42,661,MOL_003177,SCF_000607,SSG_003289,train
1,42,662,MOL_003138,SCF_000607,SSG_003249,train
1,42,663,MOL_002518,SCF_000607,SSG_002600,train
1,42,664,MOL_003141,SCF_000607,SSG_003252,train
1,42,665,MOL_003234,SCF_000607,SSG_003347,train
1,42,666,MOL_003609,SCF_000607,SSG_003759,train
1,42,667,MOL_002519,SCF_000607,SSG_002601,train
1,42,668,MOL_003635,SCF_000607,SSG_003786,train
1,42,670,MOL_001887,SCF_000497,SSG_001931,train
1,42,671,MOL_001896,SCF_000504,SSG_001940,train
1,42,672,MOL_003769,SCF_000631,SSG_003940,train
1,42,673,MOL_001495,SCF_000518,SSG_001529,train
1,42,674,MOL_001491,SCF_000386,SSG_001525,train
1,42,675,MOL_001494,SCF_000607,SSG_001528,train
1,42,676,MOL_001492,SCF_000607,SSG_001526,train
1,42,677,MOL_001496,SCF_000607,SSG_001530,train
1,42,678,MOL_001493,SCF_000607,SSG_001527,train
1,42,679,MOL_002253,SCF_000607,SSG_002323,train
1,42,680,MOL_001396,SCF_000607,SSG_001430,train
1,42,681,MOL_003733,SCF_000607,SSG_003899,train
1,42,682,MOL_001135,SCF_000607,SSG_001164,train
1,42,683,MOL_000444,SCF_000607,SSG_000449,train
1,42,684,MOL_000445,SCF_000478,SSG_000450,train
1,42,685,MOL_003734,SCF_000607,SSG_003900,train
1,42,686,MOL_003631,SCF_000517,SSG_003781,train
1,42,687,MOL_003218,SCF_000517,SSG_003330,train
1,42,688,MOL_003111,SCF_000517,SSG_003221,train
1,42,689,MOL_003241,SCF_000517,SSG_003354,train
1,42,690,MOL_003628,SCF_000517,SSG_003778,train
1,42,691,MOL_003629,SCF_000517,SSG_003779,train
1,42,692,MOL_001755,SCF_000517,SSG_001796,train
1,42,693,MOL_002852,SCF_000517,SSG_002953,train
1,42,694,MOL_002700,SCF_000517,SSG_002795,train
1,42,695,MOL_000443,SCF_000517,SSG_000448,train
1,42,696,MOL_002659,SCF_000517,SSG_002753,train
1,42,697,MOL_003722,SCF_000408,SSG_003886,train
1,42,702,MOL_002198,SCF_000049,SSG_002264,train
1,42,705,MOL_001050,SCF_000408,SSG_001077,train
1,42,706,MOL_001051,SCF_000408,SSG_001078,train
1,42,707,MOL_001049,SCF_000408,SSG_001076,train
1,42,709,MOL_002200,SCF_000051,SSG_002266,train
1,42,718,MOL_001075,SCF_000095,SSG_001104,train
1,42,720,MOL_002455,SCF_000607,SSG_002537,train
1,42,721,MOL_001114,SCF_000325,SSG_001143,train
1,42,724,MOL_002638,SCF_000138,SSG_002728,train
1,42,725,MOL_000137,SCF_000138,SSG_000138,train
1,42,731,MOL_002573,SCF_000023,SSG_002658,train
1,42,733,MOL_001830,SCF_000075,SSG_001874,train
1,42,736,MOL_002431,SCF_000464,SSG_002509,train
1,42,737,MOL_000993,SCF_000438,SSG_001017,train
1,42,738,MOL_000994,SCF_000440,SSG_001018,train
1,42,739,MOL_003364,SCF_000145,SSG_003487,train
1,42,740,MOL_003454,SCF_000202,SSG_003585,train
1,42,748,MOL_003274,SCF_000606,SSG_003390,train
1,42,749,MOL_003282,SCF_000606,SSG_003398,train
1,42,751,MOL_000877,SCF_000606,SSG_000900,train
1,42,752,MOL_000925,SCF_000606,SSG_000949,train
1,42,759,MOL_001006,SCF_000464,SSG_001030,train
1,42,762,MOL_003345,SCF_000093,SSG_003467,train
1,42,763,MOL_003345,SCF_000093,SSG_003468,train
1,42,765,MOL_002545,SCF_000392,SSG_002626,train
1,42,790,MOL_000866,SCF_000113,SSG_000889,train
1,42,791,MOL_000913,SCF_000113,SSG_000936,train
1,42,793,MOL_001836,SCF_000606,SSG_001880,train
1,42,794,MOL_003301,SCF_000071,SSG_003417,train
1,42,797,MOL_000858,SCF_000420,SSG_000881,train
1,42,798,MOL_000902,SCF_000420,SSG_000925,train
1,42,799,MOL_000860,SCF_000701,SSG_000883,train
1,42,800,MOL_000855,SCF_000420,SSG_000878,train
1,42,801,MOL_000899,SCF_000420,SSG_000922,train
1,42,802,MOL_000856,SCF_000420,SSG_000879,train
1,42,803,MOL_000900,SCF_000420,SSG_000923,train
1,42,804,MOL_000857,SCF_000420,SSG_000880,train
1,42,805,MOL_000901,SCF_000420,SSG_000924,train
1,42,806,MOL_000854,SCF_000420,SSG_000877,train
1,42,807,MOL_000898,SCF_000420,SSG_000921,train
1,42,811,MOL_000862,SCF_000379,SSG_000885,train
1,42,812,MOL_000907,SCF_000379,SSG_000930,train
1,42,813,MOL_000863,SCF_000380,SSG_000886,train
1,42,814,MOL_000908,SCF_000380,SSG_000931,train
1,42,815,MOL_000861,SCF_000703,SSG_000884,train
1,42,816,MOL_000905,SCF_000703,SSG_000928,train
1,42,824,MOL_002566,SCF_000607,SSG_002651,train
1,42,827,MOL_000942,SCF_000129,SSG_000966,train
1,42,831,MOL_002993,SCF_000460,SSG_003102,train
1,42,832,MOL_000019,SCF_000460,SSG_000019,train
1,42,833,MOL_001004,SCF_000460,SSG_001028,train
1,42,834,MOL_001900,SCF_000460,SSG_001944,train
1,42,835,MOL_000794,SCF_000460,SSG_000816,train
1,42,836,MOL_003024,SCF_000129,SSG_003133,train
1,42,837,MOL_003029,SCF_000460,SSG_003138,train
1,42,838,MOL_000937,SCF_000128,SSG_000961,train
1,42,839,MOL_001290,SCF_000606,SSG_001324,train
1,42,840,MOL_001293,SCF_000606,SSG_001327,train
1,42,841,MOL_001208,SCF_000606,SSG_001242,train
1,42,842,MOL_001209,SCF_000606,SSG_001243,train
1,42,843,MOL_002702,SCF_000138,SSG_002797,train
1,42,846,MOL_002999,SCF_000022,SSG_003108,train
1,42,847,MOL_001100,SCF_000022,SSG_001129,train
1,42,848,MOL_001099,SCF_000607,SSG_001128,train
1,42,849,MOL_001101,SCF_000607,SSG_001130,train
1,42,850,MOL_001344,SCF_000607,SSG_001378,train
1,42,851,MOL_001345,SCF_000607,SSG_001379,train
1,42,852,MOL_003007,SCF_000607,SSG_003116,train
1,42,853,MOL_003039,SCF_000461,SSG_003148,train
1,42,854,MOL_003041,SCF_000466,SSG_003150,train
1,42,855,MOL_001302,SCF_000491,SSG_001336,train
1,42,856,MOL_001301,SCF_000491,SSG_001335,train
1,42,861,MOL_001005,SCF_000460,SSG_001029,train
1,42,863,MOL_001007,SCF_000702,SSG_001031,train
1,42,864,MOL_002419,SCF_000445,SSG_002496,train
1,42,865,MOL_001001,SCF_000460,SSG_001025,train
1,42,866,MOL_001002,SCF_000460,SSG_001026,train
1,42,867,MOL_001003,SCF_000460,SSG_001027,train
1,42,868,MOL_000989,SCF_000062,SSG_001013,train
1,42,869,MOL_000990,SCF_000063,SSG_001014,train
1,42,870,MOL_000987,SCF_000062,SSG_001011,train
1,42,871,MOL_000988,SCF_000063,SSG_001012,train
1,42,872,MOL_001503,SCF_000632,SSG_001538,train
1,42,873,MOL_003747,SCF_000632,SSG_003916,train
1,42,874,MOL_001386,SCF_000632,SSG_001420,train
1,42,875,MOL_003249,SCF_000632,SSG_003363,train
1,42,876,MOL_003614,SCF_000632,SSG_003764,train
1,42,877,MOL_002449,SCF_000607,SSG_002531,train
1,42,878,MOL_000678,SCF_000607,SSG_000698,train
1,42,879,MOL_003250,SCF_000607,SSG_003364,train
1,42,880,MOL_000817,SCF_000607,SSG_000840,train
1,42,881,MOL_000677,SCF_000607,SSG_000697,train
1,42,882,MOL_000816,SCF_000607,SSG_000839,train
1,42,883,MOL_000881,SCF_000607,SSG_000904,train
1,42,884,MOL_000932,SCF_000607,SSG_000956,train
1,42,885,MOL_001030,SCF_000607,SSG_001056,train
1,42,886,MOL_000880,SCF_000607,SSG_000903,train
1,42,887,MOL_000931,SCF_000607,SSG_000955,train
1,42,888,MOL_000815,SCF_000607,SSG_000838,train
1,42,889,MOL_000822,SCF_000607,SSG_000845,train
1,42,890,MOL_000675,SCF_000607,SSG_000695,train
1,42,891,MOL_003308,SCF_000607,SSG_003425,train
1,42,892,MOL_000835,SCF_000633,SSG_000858,train
1,42,893,MOL_001048,SCF_000607,SSG_001075,train
1,42,894,MOL_000834,SCF_000633,SSG_000857,train
1,42,895,MOL_000679,SCF_000607,SSG_000699,train
1,42,896,MOL_000839,SCF_000607,SSG_000862,train
1,42,897,MOL_000840,SCF_000607,SSG_000863,train
1,42,898,MOL_000879,SCF_000607,SSG_000902,train
1,42,899,MOL_000930,SCF_000607,SSG_000954,train
1,42,900,MOL_000832,SCF_000633,SSG_000855,train
1,42,901,MOL_000830,SCF_000638,SSG_000853,train
1,42,902,MOL_000818,SCF_000607,SSG_000841,train
1,42,903,MOL_000882,SCF_000607,SSG_000905,train
1,42,904,MOL_000933,SCF_000607,SSG_000957,train
1,42,905,MOL_000836,SCF_000633,SSG_000859,train
1,42,906,MOL_000943,SCF_000130,SSG_000967,train
1,42,907,MOL_000949,SCF_000133,SSG_000973,train
1,42,908,MOL_001280,SCF_000130,SSG_001314,train
1,42,909,MOL_001279,SCF_000133,SSG_001313,train
1,42,910,MOL_002438,SCF_000607,SSG_002518,train
1,42,911,MOL_002239,SCF_000334,SSG_002309,train
1,42,923,MOL_002787,SCF_000326,SSG_002886,train
1,42,924,MOL_002442,SCF_000326,SSG_002523,train
1,42,925,MOL_001179,SCF_000326,SSG_001213,train
1,42,926,MOL_001429,SCF_000326,SSG_001463,train
1,42,927,MOL_001431,SCF_000607,SSG_001465,train
1,42,928,MOL_000447,SCF_000607,SSG_000452,train
1,42,929,MOL_000448,SCF_000607,SSG_000453,train
1,42,930,MOL_000446,SCF_000607,SSG_000451,train
1,42,931,MOL_002360,SCF_000420,SSG_002435,train
1,42,932,MOL_000896,SCF_000420,SSG_000919,train
1,42,933,MOL_000892,SCF_000420,SSG_000915,train
1,42,934,MOL_000928,SCF_000422,SSG_000952,train
1,42,935,MOL_000927,SCF_000422,SSG_000951,train
1,42,936,MOL_000878,SCF_000422,SSG_000901,train
1,42,937,MOL_000929,SCF_000422,SSG_000953,train
1,42,938,MOL_002361,SCF_000422,SSG_002436,train
1,42,939,MOL_000926,SCF_000422,SSG_000950,train
1,42,940,MOL_002607,SCF_000606,SSG_002697,train
