observation_id,structure_solvent_group_id,fold
482,SSG_002755,0
483,SSG_001186,1
484,SSG_001932,2
485,SSG_001932,2
486,SSG_001255,0
487,SSG_003969,0
488,SSG_001456,1
489,SSG_003797,3
490,SSG_002757,3
491,SSG_003357,4
492,SSG_002974,2
493,SSG_003796,3
494,SSG_003795,2
495,SSG_003794,2
496,SSG_000432,4
497,SSG_000137,4
498,SSG_000147,2
499,SSG_002729,4
500,SSG_002729,4
501,SSG_000151,4
502,SSG_000151,4
503,SSG_002734,3
504,SSG_001615,1
505,SSG_001614,0
506,SSG_001616,2
507,SSG_001340,3
508,SSG_002761,2
509,SSG_001339,3
510,SSG_001610,3
511,SSG_001610,3
512,SSG_001169,1
513,SSG_002706,1
514,SSG_001101,3
515,SSG_003427,1
516,SSG_003427,1
517,SSG_001100,2
518,SSG_000417,4
519,SSG_000416,3
520,SSG_002540,2
521,SSG_002540,2
522,SSG_000515,4
523,SSG_000833,0
524,SSG_002499,1
525,SSG_002499,1
526,SSG_002623,2
527,SSG_000139,0
528,SSG_000142,3
529,SSG_001041,2
530,SSG_001954,0
531,SSG_001953,1
532,SSG_002522,4
533,SSG_002522,4
534,SSG_000982,4
535,SSG_000958,1
536,SSG_000959,2
537,SSG_003458,3
538,SSG_003459,4
539,SSG_003460,0
540,SSG_003385,3
541,SSG_003385,3
542,SSG_001338,2
543,SSG_001085,1
544,SSG_000891,3
545,SSG_000939,3
546,SSG_000937,3
547,SSG_000888,3
548,SSG_000935,1
549,SSG_000897,1
550,SSG_000946,4
551,SSG_003429,3
552,SSG_002622,3
553,SSG_003906,1
554,SSG_000852,0
555,SSG_000467,1
556,SSG_000471,1
557,SSG_000518,2
558,SSG_000518,2
559,SSG_000512,4
560,SSG_000495,4
561,SSG_000494,0
562,SSG_003112,0
563,SSG_000968,4
564,SSG_000963,4
565,SSG_000970,1
566,SSG_000964,1
567,SSG_000971,0
568,SSG_000962,4
569,SSG_000969,0
570,SSG_000965,3
571,SSG_000972,2
572,SSG_000871,3
573,SSG_000911,3
574,SSG_000868,0
575,SSG_000908,4
576,SSG_000866,2
577,SSG_000906,0
578,SSG_000867,3
579,SSG_000907,2
580,SSG_000870,4
581,SSG_000910,3
582,SSG_001311,0
583,SSG_000837,2
584,SSG_000856,1
585,SSG_000854,2
586,SSG_002276,2
587,SSG_004015,3
588,SSG_002434,3
589,SSG_000929,1
590,SSG_000493,2
591,SSG_000493,2
592,SSG_000985,2
593,SSG_000987,4
594,SSG_001257,2
595,SSG_001268,3
596,SSG_000786,3
597,SSG_000789,1
598,SSG_000768,3
599,SSG_000768,3
600,SSG_003949,2
601,SSG_001694,1
602,SSG_001010,2
603,SSG_001382,0
604,SSG_001384,2
605,SSG_001384,2
606,SSG_001009,1
607,SSG_000993,4
608,SSG_000996,2
609,SSG_000994,0
610,SSG_000998,3
611,SSG_000992,3
612,SSG_001407,0
613,SSG_002287,1
614,SSG_002287,1
615,SSG_003423,2
616,SSG_003421,0
617,SSG_003420,3
618,SSG_003419,2
619,SSG_003419,2
620,SSG_002511,0
621,SSG_002511,0
622,SSG_002270,4
623,SSG_001167,0
624,SSG_001166,4
625,SSG_000688,1
626,SSG_002794,4
627,SSG_000411,2
628,SSG_000411,2
629,SSG_002328,2
630,SSG_000492,4
631,SSG_000764,3
632,SSG_001065,0
633,SSG_000339,2
634,SSG_002278,1
635,SSG_003214,4
636,SSG_003215,4
637,SSG_003319,1
638,SSG_001069,4
639,SSG_001389,0
640,SSG_000999,4
641,SSG_002332,1
642,SSG_001929,4
643,SSG_001929,4
644,SSG_001927,4
645,SSG_001927,4
646,SSG_001478,1
647,SSG_001479,2
648,SSG_002320,0
649,SSG_001937,3
650,SSG_001937,3
651,SSG_000159,1
652,SSG_003083,2
653,SSG_000507,3
654,SSG_003980,1
655,SSG_000466,1
656,SSG_003904,4
657,SSG_003904,4
658,SSG_001941,0
659,SSG_001941,0
660,SSG_003251,2
661,SSG_003289,0
662,SSG_003249,3
663,SSG_002600,4
664,SSG_003252,1
665,SSG_003347,0
666,SSG_003759,2
667,SSG_002601,0
668,SSG_003786,4
669,SSG_000087,3
670,SSG_001931,1
671,SSG_001940,4
672,SSG_003940,3
673,SSG_001529,1
674,SSG_001525,0
675,SSG_001528,3
676,SSG_001526,0
677,SSG_001530,2
678,SSG_001527,0
679,SSG_002323,1
680,SSG_001430,1
681,SSG_003899,0
682,SSG_001164,1
683,SSG_000449,1
684,SSG_000450,4
685,SSG_003900,1
686,SSG_003781,1
687,SSG_003330,2
688,SSG_003221,3
689,SSG_003354,4
690,SSG_003778,0
691,SSG_003779,4
692,SSG_001796,0
693,SSG_002953,3
694,SSG_002795,0
695,SSG_000448,3
696,SSG_002753,2
697,SSG_003886,4
698,SSG_001080,4
699,SSG_002263,1
700,SSG_002262,0
701,SSG_000865,1
702,SSG_002264,2
703,SSG_001081,0
704,SSG_001079,2
705,SSG_001077,4
706,SSG_001078,1
707,SSG_001076,1
708,SSG_002265,3
709,SSG_002266,0
710,SSG_001082,3
711,SSG_002965,1
712,SSG_001205,1
713,SSG_003887,0
714,SSG_003365,4
715,SSG_002760,1
716,SSG_001178,4
717,SSG_001105,1
718,SSG_001104,2
719,SSG_002704,2
720,SSG_002537,2
721,SSG_001143,1
722,SSG_002371,4
723,SSG_002371,4
724,SSG_002728,3
725,SSG_000138,1
726,SSG_000148,3
727,SSG_000430,2
728,SSG_000150,3
729,SSG_000070,4
730,SSG_000069,2
731,SSG_002658,0
732,SSG_001871,0
733,SSG_001874,3
734,SSG_001872,1
735,SSG_001873,2
736,SSG_002509,4
737,SSG_001017,2
738,SSG_001018,3
739,SSG_003487,1
740,SSG_003585,1
741,SSG_002759,0
742,SSG_001609,3
743,SSG_002758,2
744,SSG_000141,2
745,SSG_000140,1
746,SSG_000418,2
747,SSG_000143,4
748,SSG_003390,0
749,SSG_003398,1
750,SSG_000873,4
751,SSG_000900,4
752,SSG_000949,2
753,SSG_001879,2
754,SSG_001521,1
755,SSG_001522,0
756,SSG_000981,4
757,SSG_000980,3
758,SSG_000983,0
759,SSG_001030,3
760,SSG_003387,4
761,SSG_003386,2
762,SSG_003467,4
763,SSG_003468,0
764,SSG_003403,2
765,SSG_002626,1
766,SSG_002627,1
767,SSG_003395,3
768,SSG_001258,0
769,SSG_001269,1
770,SSG_002524,1
771,SSG_002512,1
772,SSG_001084,0
773,SSG_001086,2
774,SSG_001087,4
775,SSG_000812,2
776,SSG_000814,0
777,SSG_000813,4
778,SSG_000815,2
779,SSG_001453,1
780,SSG_003114,2
781,SSG_001127,0
782,SSG_001124,2
783,SSG_000072,0
784,SSG_000071,3
785,SSG_000892,1
786,SSG_000940,0
787,SSG_000887,2
788,SSG_000934,1
789,SSG_001126,4
790,SSG_000889,2
791,SSG_000936,2
792,SSG_003430,4
793,SSG_001880,0
794,SSG_003417,4
795,SSG_000012,2
796,SSG_001040,3
797,SSG_000881,3
798,SSG_000925,2
799,SSG_000883,4
800,SSG_000878,4
801,SSG_000922,3
802,SSG_000879,0
803,SSG_000923,0
804,SSG_000880,1
805,SSG_000924,1
806,SSG_000877,3
807,SSG_000921,2
808,SSG_000013,3
809,SSG_000015,3
810,SSG_000011,1
811,SSG_000885,0
812,SSG_000930,2
813,SSG_000886,1
814,SSG_000931,4
815,SSG_000884,4
816,SSG_000928,0
817,SSG_001044,4
818,SSG_001054,1
819,SSG_001038,1
820,SSG_001049,1
821,SSG_000781,0
822,SSG_003905,0
823,SSG_000850,4
824,SSG_002651,4
825,SSG_000836,4
826,SSG_000811,3
827,SSG_000966,2
828,SSG_000696,3
829,SSG_001034,2
830,SSG_000817,2
831,SSG_003102,3
832,SSG_000019,4
833,SSG_001028,4
834,SSG_001944,3
835,SSG_000816,1
836,SSG_003133,3
837,SSG_003138,2
838,SSG_000961,0
839,SSG_001324,2
840,SSG_001327,4
841,SSG_001242,1
842,SSG_001243,4
843,SSG_002797,2
844,SSG_000152,0
845,SSG_000145,0
846,SSG_003108,3
847,SSG_001129,2
848,SSG_001128,1
849,SSG_001130,3
850,SSG_001378,1
851,SSG_001379,3
852,SSG_003116,4
853,SSG_003148,3
854,SSG_003150,4
855,SSG_001336,2
856,SSG_001335,3
857,SSG_000860,3
858,SSG_000861,4
859,SSG_000988,1
860,SSG_000989,2
861,SSG_001029,3
862,SSG_001032,1
863,SSG_001031,0
864,SSG_002496,2
865,SSG_001025,0
866,SSG_001026,1
867,SSG_001027,2
868,SSG_001013,4
869,SSG_001014,1
870,SSG_001011,0
871,SSG_001012,3
872,SSG_001538,1
873,SSG_003916,0
874,SSG_001420,3
875,SSG_003363,1
876,SSG_003764,4
877,SSG_002531,2
878,SSG_000698,1
879,SSG_003364,0
880,SSG_000840,2
881,SSG_000697,0
882,SSG_000839,0
883,SSG_000904,3
884,SSG_000956,4
885,SSG_001056,2
886,SSG_000903,2
887,SSG_000955,4
888,SSG_000838,3
889,SSG_000845,0
890,SSG_000695,2
891,SSG_003425,4
892,SSG_000858,1
893,SSG_001075,1
894,SSG_000857,0
895,SSG_000699,2
896,SSG_000862,0
897,SSG_000863,2
898,SSG_000902,1
899,SSG_000954,3
900,SSG_000855,4
901,SSG_000853,3
902,SSG_000841,1
903,SSG_000905,4
904,SSG_000957,0
905,SSG_000859,2
906,SSG_000967,3
907,SSG_000973,1
908,SSG_001314,0
909,SSG_001313,2
910,SSG_002518,0
911,SSG_002309,3
912,SSG_002283,2
913,SSG_001246,0
914,SSG_001245,4
915,SSG_003968,3
916,SSG_002528,0
917,SSG_001214,4
918,SSG_001212,1
919,SSG_001215,3
920,SSG_001462,2
921,SSG_001464,4
922,SSG_001466,2
923,SSG_002886,4
924,SSG_002523,0
925,SSG_001213,2
926,SSG_001463,3
927,SSG_001465,4
928,SSG_000452,3
929,SSG_000453,4
930,SSG_000451,0
931,SSG_002435,4
932,SSG_000919,1
933,SSG_000915,2
934,SSG_000952,2
935,SSG_000951,1
936,SSG_000901,0
937,SSG_000953,0
938,SSG_002436,0
939,SSG_000950,2
940,SSG_002697,0
941,SSG_003123,1
942,SSG_001260,3
943,SSG_003009,3
944,SSG_000932,3
945,SSG_002433,2
946,SSG_001259,0
947,SSG_001535,2
948,SSG_002735,4
949,SSG_002736,2
950,SSG_001333,4
951,SSG_001332,4
952,SSG_001334,0
953,SSG_002308,2
954,SSG_000175,3
955,SSG_003485,3
956,SSG_003583,4
957,SSG_003134,4
958,SSG_003135,0
959,SSG_001424,0
960,SSG_001425,3
961,SSG_000784,2
962,SSG_000762,4
963,SSG_003950,3
964,SSG_000779,3
965,SSG_000779,3
966,SSG_000765,0
967,SSG_000767,2
968,SSG_000766,1
969,SSG_001895,4
970,SSG_001884,4
971,SSG_000769,4
972,SSG_001883,3
973,SSG_003914,3
974,SSG_000770,0
975,SSG_003892,3
976,SSG_001323,1
977,SSG_003119,2
978,SSG_003127,1
979,SSG_003118,0
980,SSG_000818,3
981,SSG_003130,2
982,SSG_003149,2
983,SSG_000743,3
984,SSG_000997,3
985,SSG_000995,1
986,SSG_002791,4
987,SSG_001925,2
988,SSG_002790,3
989,SSG_002738,3
990,SSG_003219,1
991,SSG_003748,3
992,SSG_002286,0
993,SSG_000400,1
994,SSG_001125,3
995,SSG_001123,0
996,SSG_001852,4
997,SSG_002865,0
998,SSG_000427,1
999,SSG_003908,3
1000,SSG_003893,0
1001,SSG_003909,4
1002,SSG_000514,3
1003,SSG_003147,1
1004,SSG_000513,1
1005,SSG_003144,1
1006,SSG_003143,4
1007,SSG_003146,0
1008,SSG_003142,3
1009,SSG_003145,3
1010,SSG_001405,3
1011,SSG_000135,4
1012,SSG_000550,2
1013,SSG_002536,4
1014,SSG_002322,2
1015,SSG_000772,1
1016,SSG_000394,2
1017,SSG_000393,1
1018,SSG_000397,2
1019,SSG_000396,4
1020,SSG_002530,1
1021,SSG_002300,4
1022,SSG_000398,3
1023,SSG_000778,1
1024,SSG_000458,1
1025,SSG_002969,2
1026,SSG_002968,1
1027,SSG_002964,0
1028,SSG_002963,2
1029,SSG_001471,4
1030,SSG_002502,3
1031,SSG_001168,1
1032,SSG_001515,0
1033,SSG_000703,2
1034,SSG_000704,3
1035,SSG_001165,2
1036,SSG_000689,2
1037,SSG_000489,0
1038,SSG_000780,4
1039,SSG_000462,3
1040,SSG_000001,3
1041,SSG_000960,3
1042,SSG_000392,1
1043,SSG_001896,2
1044,SSG_003442,3
1045,SSG_002506,0
1046,SSG_001001,4
1047,SSG_001007,4
1048,SSG_001002,2
1049,SSG_001005,2
1050,SSG_001006,3
1051,SSG_001004,1
1052,SSG_001045,1
1053,SSG_000745,2
1054,SSG_000744,3
1055,SSG_003864,0
1056,SSG_003401,0
1057,SSG_003858,1
1058,SSG_003349,2
1059,SSG_001454,2
1060,SSG_003859,2
1061,SSG_003871,2
1062,SSG_003862,4
1063,SSG_002997,3
1064,SSG_002970,3
1065,SSG_003008,1
1066,SSG_001890,0
1067,SSG_003868,1
1068,SSG_003866,2
1069,SSG_000088,1
1070,SSG_000006,1
1071,SSG_000153,1
1072,SSG_001520,3
1073,SSG_003317,1
1074,SSG_000007,3
1075,SSG_000005,0
1076,SSG_001061,1
1077,SSG_003488,0
1078,SSG_000831,1
1079,SSG_000061,2
1080,SSG_000060,0
1081,SSG_000830,3
1082,SSG_001928,3
1083,SSG_001938,4
1084,SSG_001930,0
1085,SSG_001936,3
1086,SSG_002303,0
1087,SSG_000413,3
1088,SSG_003765,0
1089,SSG_003422,1
1090,SSG_002284,2
1091,SSG_002494,0
1092,SSG_002248,0
1093,SSG_003489,2
1094,SSG_002821,2
1095,SSG_002280,4
1096,SSG_000332,3
1097,SSG_000331,1
1098,SSG_002292,0
1099,SSG_000335,2
1100,SSG_000334,0
1101,SSG_000333,4
1102,SSG_000336,3
1103,SSG_000338,1
1104,SSG_000337,4
1105,SSG_000330,0
1106,SSG_001271,2
1107,SSG_000004,4
1108,SSG_002870,1
1109,SSG_002869,2
1110,SSG_002866,0
1111,SSG_002867,4
1112,SSG_002871,4
1113,SSG_002314,3
1114,SSG_002288,2
1115,SSG_002868,1
1116,SSG_002872,0
1117,SSG_001816,4
1118,SSG_002330,4
1119,SSG_001549,0
1120,SSG_001939,4
1121,SSG_001942,1
1122,SSG_002779,1
1123,SSG_001854,0
1124,SSG_001864,1
1125,SSG_000976,0
1126,SSG_000975,3
1127,SSG_000979,2
1128,SSG_000978,1
1129,SSG_000974,4
1130,SSG_000977,2
1131,SSG_001649,4
1132,SSG_001194,4
1133,SSG_001067,1
1134,SSG_000828,2
1135,SSG_002660,2
1136,SSG_002667,4
1137,SSG_002666,1
1138,SSG_002277,0
1139,SSG_001390,2
1140,SSG_001385,1
1141,SSG_001524,4
1142,SSG_001523,2
1143,SSG_000415,3
1144,SSG_003941,0
1145,SSG_001000,3
1146,SSG_000009,0
1147,SSG_000008,2
1148,SSG_000010,4
1149,SSG_002298,0
1150,SSG_002272,0
1151,SSG_002637,3
1152,SSG_000506,2
1153,SSG_002636,2
1154,SSG_000807,2
1155,SSG_003082,0
1156,SSG_002638,0
1157,SSG_000402,2
1158,SSG_003418,0
1159,SSG_002973,0
1160,SSG_002632,1
1161,SSG_002628,2
1162,SSG_000505,0
1163,SSG_002629,3
1164,SSG_002633,2
1165,SSG_002631,0
1166,SSG_002630,4
1167,SSG_002634,3
1168,SSG_002635,4
1169,SSG_000180,1
1170,SSG_001252,2
1171,SSG_000875,1
1172,SSG_000062,1
1173,SSG_000083,1
1174,SSG_000084,1
1175,SSG_001640,2
1176,SSG_001882,0
1177,SSG_003253,3
1178,SSG_003250,0
1179,SSG_003248,2
1180,SSG_001455,0
1181,SSG_003471,3
1182,SSG_002822,2
1183,SSG_001253,3
1184,SSG_001263,1
1185,SSG_000584,0
1186,SSG_000320,2
1187,SSG_002620,1
1188,SSG_000832,4
1189,SSG_002781,4
1190,SSG_000799,0
1191,SSG_000798,2
1192,SSG_000797,1
1193,SSG_000795,1
1194,SSG_000796,2
1195,SSG_000793,0
1196,SSG_000794,1
1197,SSG_000792,4
1198,SSG_000801,4
1199,SSG_000800,3
1200,SSG_001060,0
1201,SSG_000791,3
1202,SSG_003958,3
1203,SSG_000802,4
1204,SSG_003998,1
1205,SSG_003979,0
1206,SSG_003318,3
1207,SSG_000020,0
1208,SSG_003157,3
1209,SSG_003247,4
1210,SSG_000317,4
1211,SSG_003121,4
1212,SSG_003113,1
1213,SSG_002975,3
1214,SSG_000706,1
1215,SSG_002621,3
1216,SSG_002624,4
1217,SSG_003939,2
1218,SSG_001325,4
1219,SSG_002643,2
1220,SSG_002644,3
1221,SSG_002643,2
1222,SSG_002644,3
1223,SSG_002645,4
1224,SSG_002677,3
1225,SSG_002678,1
1226,SSG_002676,0
1227,SSG_002678,1
1228,SSG_002679,2
1229,SSG_002677,3
1230,SSG_002678,1
1231,SSG_002677,3
1232,SSG_002676,0
1233,SSG_002677,3
1234,SSG_002678,1
1235,SSG_002652,0
1236,SSG_002652,0
1237,SSG_002692,1
1238,SSG_002692,1
1239,SSG_002692,1
1240,SSG_002653,1
1241,SSG_002693,4
1242,SSG_003324,0
1243,SSG_003323,3
1244,SSG_000312,1
1245,SSG_000313,2
