molecule_group_id,n_observations,n_unique_folds,fold
MOL_000105,2,1,1
MOL_000106,1,1,2
MOL_000107,2,1,3
MOL_000108,1,1,4
MOL_000109,2,1,3
MOL_000110,1,1,1
MOL_000111,1,1,2
MOL_000112,1,1,4
MOL_000113,1,1,5
MOL_000114,1,1,1
MOL_000115,1,1,3
MOL_000116,1,1,5
MOL_000117,1,1,5
MOL_000118,1,1,2
MOL_000119,1,1,1
MOL_000120,1,1,2
MOL_000121,1,1,4
MOL_000122,1,1,1
MOL_000123,1,1,2
MOL_000124,1,1,3
MOL_000125,1,1,3
MOL_000126,1,1,4
MOL_000127,1,1,5
MOL_000128,1,1,1
MOL_000129,1,1,2
MOL_000130,1,1,3
MOL_000131,1,1,4
MOL_000132,1,1,5
MOL_000133,1,1,1
MOL_000134,1,1,5
MOL_000135,1,1,3
MOL_000136,1,1,4
MOL_000137,1,1,2
MOL_000138,1,1,2
MOL_000139,1,1,5
MOL_000140,1,1,1
MOL_000141,1,1,3
MOL_000142,1,1,4
MOL_000143,1,1,5
MOL_000144,1,1,5
MOL_000145,1,1,5
MOL_000146,1,1,1
MOL_000147,1,1,1
MOL_000148,3,1,2
MOL_000149,1,1,3
MOL_000150,2,1,4
MOL_000151,1,1,5
MOL_000152,1,1,1
MOL_000153,1,1,4
MOL_000154,1,1,2
MOL_000155,3,1,3
MOL_000156,1,1,5
MOL_000157,1,1,1
MOL_000158,1,1,4
MOL_000159,1,1,2
MOL_000160,1,1,5
MOL_000161,1,1,3
MOL_000162,1,1,3
MOL_000163,1,1,1
MOL_000164,1,1,3
MOL_000165,1,1,2
MOL_000166,1,1,4
MOL_000167,1,1,5
MOL_000168,1,1,1
MOL_000169,1,1,2
MOL_000170,1,1,3
MOL_000171,1,1,4
MOL_000172,1,1,2
MOL_000173,1,1,5
MOL_000174,1,1,1
MOL_000175,1,1,2
MOL_000176,1,1,3
MOL_000177,1,1,4
MOL_000178,1,1,4
MOL_000179,1,1,3
MOL_000180,1,1,5
MOL_000181,1,1,1
MOL_000182,1,1,2
MOL_000183,1,1,3
MOL_000184,1,1,4
MOL_000185,1,1,5
MOL_000186,1,1,1
MOL_000187,1,1,3
MOL_000188,1,1,2
MOL_000189,1,1,4
MOL_000190,1,1,4
MOL_000191,1,1,5
MOL_000192,1,1,1
MOL_000193,1,1,2
MOL_000194,1,1,3
MOL_000195,1,1,4
MOL_000196,1,1,5
MOL_000197,1,1,5
MOL_000198,1,1,1
MOL_000199,1,1,5
MOL_000200,1,1,2
MOL_000201,1,1,3
MOL_000202,1,1,4
MOL_000203,1,1,2
MOL_000204,1,1,3
MOL_000205,1,1,4
MOL_000206,1,1,1
MOL_000207,1,1,5
MOL_000208,1,1,1
MOL_000209,1,1,5
MOL_000210,1,1,2
MOL_000211,1,1,3
MOL_000212,1,1,4
MOL_000213,1,1,1
MOL_000214,1,1,4
MOL_000215,1,1,2
MOL_000216,1,1,3
MOL_000217,6,1,5
MOL_000218,1,1,1
MOL_000219,5,1,3
MOL_000220,1,1,2
MOL_000221,1,1,4
MOL_000222,1,1,5
MOL_000223,1,1,1
MOL_000224,3,1,2
MOL_000225,1,1,4
MOL_000226,1,1,2
MOL_000227,1,1,3
MOL_000228,1,1,5
MOL_000229,1,1,1
MOL_000230,2,1,1
MOL_000231,1,1,2
MOL_000232,1,1,3
MOL_000233,1,1,4
MOL_000234,1,1,5
MOL_000235,1,1,1
MOL_000236,1,1,2
MOL_000237,1,1,3
MOL_000238,1,1,4
MOL_000239,1,1,5
MOL_000240,2,1,5
MOL_000241,1,1,1
MOL_000242,1,1,2
MOL_000243,2,1,3
MOL_000244,1,1,4
MOL_000245,1,1,2
MOL_000246,1,1,4
MOL_000247,1,1,1
MOL_000248,1,1,3
MOL_000249,1,1,5
MOL_000250,1,1,5
MOL_000251,1,1,1
MOL_000252,1,1,2
MOL_000253,1,1,3
MOL_000254,1,1,4
MOL_000255,1,1,1
MOL_000256,1,1,2
MOL_000257,1,1,3
MOL_000258,1,1,4
MOL_000259,1,1,5
MOL_000260,1,1,1
MOL_000261,1,1,4
MOL_000262,1,1,4
MOL_000263,1,1,2
MOL_000264,1,1,3
MOL_000265,1,1,5
MOL_000266,1,1,5
MOL_000267,1,1,3
MOL_000268,1,1,1
MOL_000269,1,1,2
MOL_000270,1,1,4
MOL_000271,1,1,5
MOL_000272,1,1,1
MOL_000273,1,1,2
MOL_000274,1,1,3
MOL_000275,1,1,4
MOL_000276,1,1,5
MOL_000277,1,1,3
MOL_000278,2,1,1
MOL_000279,2,1,2
MOL_000280,2,1,5
MOL_000281,1,1,4
MOL_000282,1,1,1
MOL_000283,1,1,2
MOL_000284,1,1,3
MOL_000285,1,1,4
MOL_000286,1,1,5
MOL_000287,1,1,2
MOL_000288,1,1,3
MOL_000289,1,1,1
MOL_000290,1,1,4
MOL_000291,1,1,5
MOL_000292,1,1,2
MOL_000293,4,1,1
MOL_000294,2,1,2
MOL_000295,2,1,3
MOL_000296,2,1,4
MOL_000297,2,1,5
MOL_000298,2,1,2
MOL_000299,2,1,3
MOL_000300,2,1,3
MOL_000301,2,1,1
MOL_000302,2,1,4
MOL_000303,2,1,5
MOL_000304,2,1,2
MOL_000305,2,1,3
MOL_000306,2,1,1
MOL_000307,1,1,4
MOL_000308,1,1,4
MOL_000309,3,1,5
MOL_000310,1,1,1
MOL_000311,1,1,2
MOL_000312,1,1,3
MOL_000313,1,1,5
MOL_000314,1,1,4
MOL_000315,1,1,1
MOL_000316,1,1,1
MOL_000317,1,1,5
MOL_000318,1,1,4
MOL_000319,1,1,2
MOL_000320,1,1,3
MOL_000321,1,1,5
MOL_000322,1,1,1
MOL_000323,1,1,1
MOL_000324,1,1,5
MOL_000325,1,1,2
MOL_000326,1,1,3
MOL_000327,1,1,5
MOL_000328,1,1,2
MOL_000329,1,1,3
MOL_000330,1,1,3
MOL_000331,1,1,4
MOL_000332,1,1,1
MOL_000333,1,1,4
MOL_000334,1,1,5
MOL_000335,1,1,3
MOL_000336,1,1,2
MOL_000337,1,1,3
MOL_000338,1,1,4
MOL_000339,1,1,2
MOL_000340,1,1,2
MOL_000341,1,1,1
MOL_000342,1,1,3
MOL_000343,2,1,4
MOL_000344,1,1,2
MOL_000345,1,1,3
MOL_000346,1,1,5
MOL_000347,2,1,3
MOL_000348,2,1,1
MOL_000349,1,1,2
MOL_000350,1,1,4
MOL_000351,2,1,2
MOL_000352,2,1,4
MOL_000353,1,1,5
MOL_000354,2,1,3
MOL_000355,1,1,5
MOL_000356,2,1,2
MOL_000357,2,1,1
MOL_000358,1,1,2
MOL_000359,2,1,4
MOL_000360,1,1,3
MOL_000361,1,1,5
MOL_000362,2,1,4
MOL_000363,2,1,1
MOL_000364,1,1,2
MOL_000365,1,1,4
MOL_000366,2,1,1
MOL_000367,1,1,2
MOL_000368,2,1,3
MOL_000369,1,1,1
MOL_000370,1,1,5
MOL_000371,1,1,1
MOL_000372,1,1,4
MOL_000373,1,1,2
MOL_000374,1,1,3
MOL_000375,1,1,5
MOL_000376,1,1,1
MOL_000377,2,1,2
MOL_000378,1,1,3
MOL_000379,1,1,4
MOL_000380,1,1,5
MOL_000381,1,1,4
MOL_000382,1,1,1
MOL_000383,1,1,2
MOL_000384,1,1,3
MOL_000385,1,1,5
MOL_000386,1,1,1
MOL_000387,2,1,3
MOL_000388,1,1,2
MOL_000389,1,1,4
MOL_000390,1,1,5
MOL_000391,2,1,1
MOL_000392,1,1,4
MOL_000393,1,1,2
MOL_000394,1,1,3
MOL_000395,4,1,2
MOL_000396,1,1,5
MOL_000397,3,1,4
MOL_000398,1,1,1
MOL_000399,1,1,1
MOL_000400,1,1,3
MOL_000401,1,1,5
MOL_000402,1,1,5
MOL_000403,1,1,2
MOL_000404,1,1,5
MOL_000405,1,1,1
MOL_000406,1,1,4
MOL_000407,2,1,2
MOL_000408,1,1,3
MOL_000409,1,1,5
MOL_000410,1,1,1
MOL_000411,1,1,4
MOL_000412,1,1,1
MOL_000413,1,1,3
MOL_000414,1,1,2
MOL_000415,1,1,3
MOL_000416,1,1,4
MOL_000417,2,1,5
MOL_000418,1,1,3
MOL_000419,1,1,4
MOL_000420,1,1,1
MOL_000421,1,1,2
MOL_000422,1,1,1
MOL_000423,1,1,5
MOL_000424,1,1,4
MOL_000425,1,1,1
MOL_000426,1,1,5
MOL_000427,1,1,2
MOL_000428,2,1,3
MOL_000429,1,1,4
MOL_000430,1,1,1
MOL_000431,1,1,3
MOL_000432,1,1,3
MOL_000433,1,1,5
MOL_000434,1,1,2
MOL_000435,1,1,3
MOL_000436,1,1,4
MOL_000437,1,1,2
MOL_000438,1,1,1
MOL_000439,1,1,3
MOL_000440,1,1,4
MOL_000441,1,1,5
MOL_000442,1,1,1
MOL_000443,1,1,5
MOL_000444,1,1,2
MOL_000445,1,1,3
MOL_000446,1,1,4
MOL_000447,1,1,2
MOL_000448,1,1,1
MOL_000449,1,1,3
MOL_000450,1,1,5
MOL_000451,1,1,4
MOL_000452,1,1,5
MOL_000453,1,1,1
MOL_000454,1,1,2
MOL_000455,1,1,5
MOL_000456,1,1,5
MOL_000457,1,1,3
MOL_000458,2,1,4
MOL_000459,3,1,3
MOL_000460,2,1,4
MOL_000461,1,1,1
MOL_000462,1,1,2
MOL_000463,1,1,5
MOL_000464,1,1,1
MOL_000465,2,1,3
MOL_000466,1,1,2
MOL_000467,1,1,4
MOL_000468,1,1,5
MOL_000469,1,1,2
MOL_000470,1,1,1
MOL_000471,1,1,1
MOL_000472,1,1,5
MOL_000473,1,1,2
MOL_000474,1,1,4
MOL_000475,1,1,4
MOL_000476,1,1,3
MOL_000477,1,1,4
MOL_000478,1,1,2
MOL_000479,1,1,5
MOL_000480,2,1,2
MOL_000481,1,1,4
MOL_000482,1,1,3
MOL_000483,1,1,5
MOL_000484,1,1,1
MOL_000485,2,1,1
MOL_000486,1,1,5
MOL_000487,1,1,4
MOL_000488,2,1,2
MOL_000489,1,1,4
MOL_000490,1,1,1
MOL_000491,1,1,1
MOL_000492,1,1,3
MOL_000493,1,1,1
MOL_000494,1,1,4
MOL_000495,1,1,5
MOL_000496,1,1,4
MOL_000497,1,1,1
MOL_000498,1,1,2
MOL_000499,1,1,3
MOL_000500,1,1,5
MOL_000501,1,1,1
MOL_000502,1,1,3
MOL_000503,1,1,2
MOL_000504,2,1,4
MOL_000505,2,1,5
MOL_000506,1,1,1
MOL_000507,1,1,3
MOL_000508,1,1,2
MOL_000509,1,1,4
MOL_000510,1,1,3
MOL_000511,1,1,5
MOL_000512,1,1,1
MOL_000513,2,1,3
MOL_000514,1,1,5
MOL_000515,1,1,2
MOL_000516,2,1,4
MOL_000517,1,1,3
MOL_000518,2,1,1
MOL_000519,1,1,2
MOL_000520,1,1,4
MOL_000521,1,1,3
MOL_000522,3,1,5
MOL_000523,1,1,4
MOL_000524,1,1,1
MOL_000525,1,1,2
MOL_000526,2,1,3
MOL_000527,1,1,5
MOL_000528,1,1,1
MOL_000529,1,1,3
MOL_000530,1,1,4
MOL_000531,1,1,2
MOL_000532,1,1,2
MOL_000533,1,1,5
MOL_000534,1,1,1
MOL_000535,1,1,2
MOL_000536,1,1,3
MOL_000537,1,1,4
MOL_000538,1,1,5
MOL_000539,1,1,1
MOL_000540,1,1,2
MOL_000541,1,1,3
MOL_000542,2,1,4
MOL_000543,1,1,5
MOL_000544,1,1,5
MOL_000545,1,1,1
MOL_000546,1,1,2
MOL_000547,1,1,3
MOL_000548,1,1,4
MOL_000549,1,1,4
MOL_000550,1,1,2
MOL_000551,1,1,4
MOL_000552,1,1,1
MOL_000553,2,1,3
MOL_000554,1,1,5
MOL_000555,1,1,3
MOL_000556,1,1,1
MOL_000557,1,1,2
MOL_000558,5,1,4
MOL_000559,4,1,5
MOL_000560,3,1,5
MOL_000561,1,1,1
MOL_000562,2,1,5
MOL_000563,3,1,3
MOL_000564,3,1,5
MOL_000565,2,1,2
MOL_000566,1,1,4
MOL_000567,1,1,1
MOL_000568,1,1,2
MOL_000569,1,1,4
MOL_000570,1,1,3
MOL_000571,1,1,5
MOL_000572,1,1,3
MOL_000573,1,1,5
MOL_000574,1,1,5
MOL_000575,1,1,1
MOL_000576,1,1,2
MOL_000577,1,1,4
MOL_000578,1,1,1
MOL_000579,1,1,2
MOL_000580,1,1,3
MOL_000581,1,1,2
MOL_000582,1,1,4
MOL_000583,1,1,5
MOL_000584,1,1,5
MOL_000585,1,1,1
MOL_000586,1,1,2
MOL_000587,1,1,3
MOL_000588,1,1,4
MOL_000589,1,1,4
MOL_000590,1,1,5
MOL_000591,3,1,1
MOL_000592,3,1,2
MOL_000593,1,1,3
MOL_000594,1,1,1
MOL_000595,1,1,2
MOL_000596,1,1,3
MOL_000597,1,1,4
MOL_000598,1,1,5
MOL_000599,1,1,5
MOL_000600,1,1,1
MOL_000601,1,1,2
MOL_000602,6,1,3
MOL_000603,3,1,3
MOL_000604,2,1,4
MOL_000605,1,1,1
MOL_000606,1,1,3
MOL_000607,1,1,1
MOL_000608,1,1,2
MOL_000609,1,1,5
MOL_000610,1,1,4
MOL_000611,2,1,2
MOL_000612,1,1,1
MOL_000613,1,1,4
MOL_000614,3,1,2
MOL_000615,1,1,3
MOL_000616,4,1,5
MOL_000617,1,1,2
MOL_000618,1,1,3
MOL_000619,1,1,5
MOL_000620,1,1,1
MOL_000621,1,1,4
MOL_000622,1,1,2
MOL_000623,1,1,1
MOL_000624,1,1,2
MOL_000625,1,1,3
MOL_000626,1,1,4
MOL_000627,1,1,5
MOL_000628,1,1,3
MOL_000629,1,1,4
MOL_000630,1,1,1
MOL_000631,1,1,5
MOL_000632,1,1,2
MOL_000633,1,1,1
MOL_000634,1,1,3
MOL_000635,1,1,4
MOL_000636,1,1,2
MOL_000637,1,1,4
MOL_000638,1,1,5
MOL_000639,2,1,5
MOL_000640,1,1,1
MOL_000641,1,1,2
MOL_000642,1,1,3
MOL_000643,3,1,4
MOL_000644,1,1,3
MOL_000645,1,1,5
MOL_000646,3,1,1
MOL_000647,2,1,2
MOL_000648,1,1,4
MOL_000649,1,1,1
MOL_000650,1,1,1
MOL_000651,1,1,5
MOL_000652,1,1,2
MOL_000653,1,1,4
MOL_000654,1,1,3
MOL_000655,1,1,5
MOL_000656,1,1,1
MOL_000657,1,1,2
MOL_000658,1,1,5
MOL_000659,1,1,3
MOL_000660,1,1,3
MOL_000661,1,1,4
MOL_000662,1,1,1
MOL_000663,1,1,2
MOL_000664,1,1,3
MOL_000665,2,1,4
MOL_000666,2,1,4
MOL_000667,1,1,5
MOL_000668,1,1,3
MOL_000669,1,1,5
MOL_000670,1,1,1
MOL_000671,2,1,4
MOL_000672,3,1,2
MOL_000673,1,1,2
MOL_000674,1,1,5
MOL_000675,1,1,1
MOL_000676,1,1,3
MOL_000677,1,1,2
MOL_000678,1,1,4
MOL_000679,1,1,2
MOL_000680,3,1,5
MOL_000681,1,1,5
MOL_000682,1,1,2
MOL_000683,1,1,5
MOL_000684,1,1,1
MOL_000685,1,1,3
MOL_000686,1,1,4
MOL_000687,3,1,2
MOL_000688,1,1,3
MOL_000689,1,1,4
MOL_000690,1,1,5
MOL_000691,1,1,1
MOL_000692,1,1,1
MOL_000693,1,1,1
MOL_000694,1,1,2
MOL_000695,1,1,3
MOL_000696,1,1,4
MOL_000697,1,1,5
MOL_000698,1,1,2
MOL_000699,1,1,2
MOL_000700,1,1,1
MOL_000701,3,1,3
MOL_000702,1,1,3
MOL_000703,1,1,4
MOL_000704,1,1,5
MOL_000705,1,1,4
MOL_000706,1,1,4
MOL_000707,1,1,1
MOL_000708,1,1,1
MOL_000709,1,1,5
MOL_000710,1,1,2
MOL_000711,1,1,3
MOL_000712,1,1,5
MOL_000713,1,1,2
MOL_000714,1,1,3
MOL_000715,1,1,1
MOL_000716,1,1,4
MOL_000717,1,1,5
MOL_000718,1,1,1
MOL_000719,1,1,2
MOL_000720,1,1,4
MOL_000721,1,1,3
MOL_000722,1,1,5
MOL_000723,1,1,1
MOL_000724,1,1,2
MOL_000725,1,1,5
MOL_000726,1,1,3
MOL_000727,1,1,3
MOL_000728,1,1,4
MOL_000729,1,1,3
MOL_000730,1,1,2
MOL_000731,1,1,1
MOL_000732,1,1,2
MOL_000733,1,1,4
MOL_000734,1,1,1
MOL_000735,1,1,5
MOL_000736,1,1,5
MOL_000737,1,1,3
MOL_000738,3,1,4
MOL_000739,3,1,4
MOL_000740,1,1,1
MOL_000741,3,1,3
MOL_000742,1,1,2
MOL_000743,1,1,3
MOL_000744,1,1,5
MOL_000745,1,1,2
MOL_000746,2,1,5
MOL_000747,1,1,1
MOL_000748,1,1,3
MOL_000749,1,1,4
MOL_000750,1,1,5
MOL_000751,1,1,2
MOL_000752,1,1,5
MOL_000753,1,1,3
MOL_000754,1,1,1
MOL_000755,1,1,2
MOL_000756,1,1,4
MOL_000757,2,1,4
MOL_000758,1,1,2
MOL_000759,1,1,1
MOL_000760,1,1,3
MOL_000761,1,1,4
MOL_000762,2,1,5
MOL_000763,1,1,3
MOL_000764,1,1,1
MOL_000765,1,1,2
MOL_000766,2,1,4
MOL_000767,1,1,5
MOL_000768,1,1,1
MOL_000769,1,1,5
MOL_000770,1,1,4
MOL_000771,1,1,5
MOL_000772,1,1,4
MOL_000773,1,1,2
MOL_000774,1,1,3
MOL_000775,1,1,2
MOL_000776,1,1,1
MOL_000777,1,1,4
MOL_000778,1,1,3
MOL_000779,1,1,4
MOL_000780,1,1,5
MOL_000781,1,1,4
MOL_000782,1,1,5
MOL_000783,1,1,1
MOL_000784,1,1,2
MOL_000785,1,1,3
MOL_000786,1,1,1
MOL_000787,1,1,2
MOL_000788,1,1,3
MOL_000789,1,1,4
MOL_000790,1,1,2
MOL_000791,1,1,5
MOL_000792,1,1,4
MOL_000793,1,1,1
MOL_000794,1,1,2
MOL_000795,1,1,3
MOL_000796,1,1,5
MOL_000797,1,1,1
MOL_000798,1,1,3
MOL_000799,2,1,1
MOL_000800,2,1,2
MOL_000801,1,1,4
MOL_000802,1,1,5
MOL_000803,2,1,1
MOL_000804,3,1,2
MOL_000805,1,1,3
MOL_000806,4,1,4
MOL_000807,1,1,5
MOL_000808,1,1,4
MOL_000809,1,1,4
MOL_000810,1,1,5
MOL_000811,2,1,3
MOL_000812,2,1,2
MOL_000813,1,1,1
MOL_000814,1,1,2
MOL_000815,1,1,3
MOL_000816,1,1,3
MOL_000817,1,1,4
MOL_000818,1,1,5
MOL_000819,1,1,3
MOL_000820,1,1,1
MOL_000821,1,1,2
MOL_000822,1,1,2
MOL_000823,1,1,1
MOL_000824,1,1,3
MOL_000825,1,1,4
MOL_000826,1,1,1
MOL_000827,1,1,5
MOL_000828,1,1,1
MOL_000829,1,1,4
MOL_000830,1,1,4
MOL_000831,1,1,2
MOL_000832,1,1,1
MOL_000833,1,1,3
MOL_000834,1,1,5
MOL_000835,1,1,2
MOL_000836,1,1,5
MOL_000837,1,1,1
MOL_000838,1,1,3
MOL_000839,1,1,4
MOL_000840,1,1,3
MOL_000841,1,1,4
MOL_000842,1,1,2
MOL_000843,1,1,1
MOL_000844,1,1,2
MOL_000845,1,1,5
MOL_000846,1,1,3
MOL_000847,1,1,4
MOL_000848,1,1,5
MOL_000849,1,1,1
MOL_000850,1,1,2
MOL_000851,1,1,5
MOL_000852,1,1,2
MOL_000853,1,1,2
MOL_000854,1,1,3
MOL_000855,1,1,1
MOL_000856,1,1,4
MOL_000857,1,1,5
MOL_000858,1,1,4
MOL_000859,2,1,1
MOL_000860,1,1,2
MOL_000861,1,1,2
MOL_000862,1,1,3
MOL_000863,1,1,5
MOL_000864,1,1,1
MOL_000865,1,1,2
MOL_000866,1,1,4
MOL_000867,1,1,5
MOL_000868,1,1,1
MOL_000869,1,1,3
MOL_000870,1,1,3
MOL_000871,1,1,2
MOL_000872,1,1,5
MOL_000873,2,1,1
MOL_000874,1,1,3
MOL_000875,2,1,4
MOL_000876,1,1,5
MOL_000877,1,1,5
MOL_000878,1,1,1
MOL_000879,1,1,2
MOL_000880,1,1,3
MOL_000881,1,1,4
MOL_000882,1,1,5
MOL_000883,1,1,1
MOL_000884,1,1,2
MOL_000885,1,1,3
MOL_000886,1,1,4
MOL_000887,1,1,1
MOL_000888,1,1,2
MOL_000889,1,1,3
MOL_000890,1,1,4
MOL_000891,1,1,5
MOL_000892,1,1,4
MOL_000893,1,1,1
MOL_000894,2,1,2
MOL_000895,2,1,3
MOL_000896,1,1,4
MOL_000897,1,1,5
MOL_000898,1,1,2
MOL_000899,1,1,1
MOL_000900,1,1,3
MOL_000901,1,1,4
MOL_000902,1,1,5
MOL_000903,2,1,1
MOL_000904,1,1,3
MOL_000905,1,1,4
MOL_000906,1,1,2
MOL_000907,1,1,4
MOL_000908,1,1,2
MOL_000909,1,1,3
MOL_000910,1,1,5
MOL_000911,1,1,5
MOL_000912,1,1,2
MOL_000913,1,1,5
MOL_000914,1,1,1
MOL_000915,1,1,2
MOL_000916,1,1,3
MOL_000917,1,1,4
MOL_000918,2,1,3
MOL_000919,1,1,5
MOL_000920,1,1,1
MOL_000921,2,1,3
MOL_000922,1,1,2
MOL_000923,1,1,3
MOL_000924,1,1,4
MOL_000925,1,1,5
MOL_000926,1,1,1
MOL_000927,1,1,2
MOL_000928,1,1,3
MOL_000929,1,1,4
MOL_000930,1,1,5
MOL_000931,1,1,2
MOL_000932,1,1,5
MOL_000933,1,1,1
MOL_000934,1,1,4
MOL_000935,1,1,3
MOL_000936,1,1,4
MOL_000937,1,1,1
MOL_000938,1,1,1
MOL_000939,1,1,2
MOL_000940,1,1,2
MOL_000941,1,1,1
MOL_000942,1,1,5
MOL_000943,1,1,3
MOL_000944,1,1,4
MOL_000945,1,1,1
MOL_000946,1,1,4
MOL_000947,1,1,4
MOL_000948,1,1,2
MOL_000949,1,1,3
MOL_000950,1,1,5
MOL_000951,1,1,2
MOL_000952,1,1,5
MOL_000953,1,1,1
MOL_000954,1,1,3
MOL_000955,1,1,4
MOL_000956,1,1,5
MOL_000957,1,1,1
MOL_000958,1,1,4
MOL_000959,1,1,3
MOL_000960,1,1,2
MOL_000961,1,1,5
MOL_000962,1,1,1
MOL_000963,1,1,2
MOL_000964,1,1,5
MOL_000965,1,1,1
MOL_000966,1,1,3
MOL_000967,1,1,4
MOL_000968,1,1,3
MOL_000969,1,1,1
MOL_000970,1,1,2
MOL_000971,1,1,2
MOL_000972,1,1,5
MOL_000973,1,1,4
MOL_000974,1,1,5
MOL_000975,1,1,1
MOL_000976,1,1,2
MOL_000977,1,1,3
MOL_000978,1,1,4
MOL_000979,1,1,5
MOL_000980,1,1,1
MOL_000981,1,1,3
MOL_000982,1,1,2
MOL_000983,1,1,5
MOL_000984,1,1,4
MOL_000985,1,1,1
MOL_000986,1,1,2
MOL_000987,1,1,3
MOL_000988,1,1,4
MOL_000989,1,1,5
MOL_000990,1,1,1
MOL_000991,1,1,5
MOL_000992,1,1,2
MOL_000993,1,1,3
MOL_000994,1,1,4
MOL_000995,2,1,5
MOL_000996,2,1,1
MOL_000997,2,1,2
MOL_000998,2,1,3
MOL_000999,2,1,4
MOL_001000,2,1,2
MOL_001001,1,1,5
MOL_001002,1,1,5
MOL_001003,1,1,1
MOL_001004,1,1,2
MOL_001005,1,1,3
MOL_001006,1,1,4
MOL_001007,1,1,1
MOL_001008,1,1,3
MOL_001009,1,1,2
MOL_001010,1,1,5
MOL_001011,1,1,4
MOL_001012,2,1,1
MOL_001013,6,1,2
MOL_001014,1,1,3
MOL_001015,5,1,4
MOL_001016,1,1,5
MOL_001017,4,1,1
MOL_001018,1,1,3
MOL_001019,1,1,2
MOL_001020,1,1,3
MOL_001021,5,1,4
MOL_001022,3,1,2
MOL_001023,8,1,4
MOL_001024,1,1,5
MOL_001025,4,1,1
MOL_001026,4,1,2
MOL_001027,1,1,3
MOL_001028,1,1,4
MOL_001029,1,1,5
MOL_001030,1,1,1
MOL_001031,1,1,2
MOL_001032,2,1,3
MOL_001033,2,1,1
MOL_001034,1,1,2
MOL_001035,1,1,4
MOL_001036,1,1,5
MOL_001037,2,1,4
MOL_001038,1,1,1
MOL_001039,1,1,2
MOL_001040,1,1,3
MOL_001041,2,1,5
MOL_001042,1,1,4
MOL_001043,1,1,1
MOL_001044,1,1,4
MOL_001045,1,1,1
MOL_001046,1,1,5
MOL_001047,1,1,2
MOL_001048,1,1,3
MOL_001049,1,1,1
MOL_001050,1,1,4
MOL_001051,1,1,3
MOL_001052,1,1,2
MOL_001053,1,1,4
MOL_001054,1,1,4
MOL_001055,1,1,5
MOL_001056,1,1,1
MOL_001057,1,1,2
MOL_001058,1,1,1
MOL_001059,1,1,3
MOL_001060,1,1,4
MOL_001061,1,1,5
MOL_001062,1,1,3
MOL_001063,1,1,5
MOL_001064,1,1,5
MOL_001065,1,1,1
MOL_001066,1,1,3
MOL_001067,1,1,2
MOL_001068,1,1,4
MOL_001069,1,1,1
MOL_001070,1,1,3
MOL_001071,5,1,2
MOL_001072,1,1,4
MOL_001073,1,1,5
